427,एस.सी.बी.,-,अखिल भारतीय पुलिस ड्यूटीमीट 32वीं वाहिनी पीएसी,1983
428,एस.सी.बी.,46/08,57वीं अखिल भआरतीय पुलिस एथलेटिक्स चैम्पियनशिप ,2008
429,एस.सी.बी.,97/96,45वीं अखिल भारतीय पुलिस एथलेटिक्स प्रतियोगिता,1996
430,एस.सी.बी.,93/96,"45वीं अखिल भारतीय पुलिस कुश्ती, जूडो, जिम्नास्टिक प्रतियोगिता",1996
431,एस.सी.बी.,13/97,46वीं अखिल भारतीय पुलिस हॉकी प्रति.,1997
432,एस.सी.बी.,86/2000,49वीं अखिल भारतीय पुलिस एथलेटिक्स प्रतियोगिता,2000
433,एस.सी.बी.,-, अखिल भारतीय पुलिस ड्यूटीमीट- एक्सट्राकॉपी,1998
434,एस.सी.बी.,35/2008,57वीं अखिल भारतीय पुलिस एथलेटिक्स चैम्पियनशिप ,2008
435,एस.सी.बी.,10/1997,"46वीं अखिल भारतीय पुलिस वॉलाबॉल,बास्केटवॉल,प्रतियोगिता",1997
436,एस.सी.बी.,-,42वीं अखिल भारतीय पुलिस ड्यूटीमीट,1998
437,एस.सी.बी.,101/98,गोल्फ प्रतियोगिता के सम्बन्ध में,1998
438,एस.सी.बी.,63/98,47वीं अखिल भारतीय पुलिस फुटबॉल प्रतियोगिता,1998
439,एस.सी.बी.,58/90,अखिल भारतीय पुलिस घुडसवारी प्रतियोगिता,1992
440,एस.सी.बी.,97/98,"47वीं अखिल भारतीय पुलिस जूडो, जिम्नास्टिक प्रतियोगिता",1998
441,एस.सी.बी.,38/87,36वीं अखिल भारतीय पुलिस एक्वेटिक चैम्पिय.,1987
442,एस.सी.बी.,09/90,39वीं अखिल भारतीय पुलिस खेल कूद प्रतियोगिता,1990
443,एस.सी.बी.,23/96,अखिल भारतीय पुलिस ह़ॉकी प्रतियोगिता,1996
444,एस.सी.बी.,62/2000,अखिल भारतीय पुलिस गोल्फ प्रतियोगिता,2000
445,एस.सी.बी.,41/2003,52वीं अखिल भारतीय पुलिस फुटबॉल प्रतियोगिता,2003
446,एस.सी.बी.,64/97,46वीं अखिल भारतीय पुलिस एथलेटिक्स मीट,1997
447,एस.सी.बी.,67/84,प्रतियोगिता अमेठी में आयोजित किये जाने के सम्बन्ध में,1984
448,एस.सी.बी.,63/2000,20वीं अखिल भारतीय पुलिस घुडसवारी प्रति.,2000
