vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,
"Ø0
la0",f[kykMh dk izdkj,[ksy fo/kk dk uke,"ih,uvks","ih,uvks",in o uke,izfr;ksfxrk dk uke,LFkku,fnukad,"o""kZ",vk;kstu LFky,dc ls ,dc rd,"o""kZ",Li/kkZ,esMy,fooj.k
18,dq-f[k-,ftEukfLVd,,,lanhi dqekj,40oha m-iz- ftEukfLVd izfr;ksfxrk,[ksyxkao ifCyd Ldwy] iz;kxjkt,15-03-2024 ls 17-03-2024 rd ,2024,iz;kxjkt,15-03-2024,17-03-2024,2024,,jtr,
19,dq-f[k-,ftEukfLVd,,,lanhi dqekj,40oha m-iz- ftEukfLVd izfr;ksfxrk,[ksyxkao ifCyd Ldwy] iz;kxjkt,15-03-2024 ls 17-03-2024 rd ,2024,iz;kxjkt,15-03-2024,17-03-2024,2024,,dkaL;,
20,dq-f[k-,ftEukfLVd,,,la{ksi ;kno,40oha m-iz- ftEukfLVd izfr;ksfxrk,[ksyxkao ifCyd Ldwy] iz;kxjkt,15-03-2024 ls 17-03-2024 rd ,2024,iz;kxjkt,15-03-2024,17-03-2024,2024,,jtr,
21,dq-f[k-,ftEukfLVd,,,la{ksi ;kno,40oha m-iz- ftEukfLVd izfr;ksfxrk,[ksyxkao ifCyd Ldwy] iz;kxjkt,15-03-2024 ls 17-03-2024 rd ,2024,iz;kxjkt,15-03-2024,17-03-2024,2024,,dkaL;,
22,dq-f[k-,ftEukfLVd,,,eks0 vQlkj [kku,40oha m-iz- ftEukfLVd izfr;ksfxrk,[ksyxkao ifCyd Ldwy] iz;kxjkt,15-03-2024 ls 17-03-2024 rd ,2024,iz;kxjkt,15-03-2024,17-03-2024,2024,,dkaL;,
23,dq-f[k-,ftEukfLVd,,,vkdk'k vk;kZ,40oha m-iz- ftEukfLVd izfr;ksfxrk,[ksyxkao ifCyd Ldwy] iz;kxjkt,15-03-2024 ls 17-03-2024 rd ,2024,iz;kxjkt,15-03-2024,17-03-2024,2024,,Lo.kZ,
24,dq-f[k-,ckfDlax,,,l{ke flag,"[ksyksa bf.M;k vkj-vkbZ-lh- vksiu VsysUV gaV byhV efgyk ,oa iq:""k izfr;ksfxrk&24",,11-03-2024 ls 18-03-2024 ,2024,vle,11-03-2024,18-03-2024,2024,,dkaL;,
25,dq-f[k-,ckfDlax,,,jkdh pkS/kjh,"[ksyksa bf.M;k vkj-vkbZ-lh- vksiu VsysUV gaV byhV efgyk ,oa iq:""k izfr;ksfxrk&24",,11-03-2024 ls 18-03-2024 ,2024,vle,11-03-2024,18-03-2024,2024,,Lo.kZ,
26,dq-f[k-,ckfDlax,,,vkLFkk igok,"[ksyksa bf.M;k vkj-vkbZ-lh- vksiu VsysUV gaV byhV efgyk ,oa iq:""k izfr;ksfxrk&24",,11-03-2024 ls 18-03-2024 ,2024,vle,11-03-2024,18-03-2024,2024,,Lo.kZ,
27,dq-f[k-,dq'rh,,,eksfgr [kks[kj,v.Mj 20 LVsV pSfEi;uf'ki ,,21-03-24 ls 22-03-24 xks.Mk,2024,xkSrecq)uxj,10-03-2024,11-03-2024,2024,&,Lo.kZ,
28,dq-f[k-,dq'rh,,,nhik,v.Mj 20 LVsV pSfEi;uf'ki ,,21-03-24 ls 22-03-24 xks.Mk,2024,xkSrecq)uxj,10-03-2024,11-03-2024,2024,&,dkaL;,
29,dq-f[k-,dq'rh,,,papy fljksgh,v.Mj 20 LVsV pSfEi;uf'ki ,,21-03-24 ls 22-03-24 xks.Mk,2024,xkSrecq)uxj,10-03-2024,11-03-2024,2024,&,jtr,
30,dq-f[k-,rkbDok.Mksa,vj{kh,,"_""kHk",lhfu;j pSfEi;u vkQ pSfEi;u izfr;ksfxrk 2024,"ukfld egkjk""Vª", 29-03-2024 ls 30-03-2024,2024,"ukfld egkjk""Vª",29-03-2024,30-03-2024,2024,&,स्वर्ण,
31,dq-f[k-,rkbDok.Mksa,vj{kh,,"_f""k jk;",lhfu;j pSfEi;u vkQ pSfEi;u izfr;ksfxrk 2024,"ukfld egkjk""Vª", 29-03-2024 ls 30-03-2024,2024,,29-03-2024,30-03-2024,2024,&,jtr,
32,dq-f[k-,rkbDok.Mksa,e- vj{kh,,vuh'kk,lhfu;j pSfEi;u vkQ pSfEi;u izfr;ksfxrk 2024,"ukfld egkjk""Vª", 29-03-2024 ls 30-03-2024,2024,,29-03-2024,30-03-2024,2024,&,स्वर्ण,
33,dq-f[k-,twMks,,,vt; ;kno,us'kuy jSafdx Vªk;y ,vkbZ-th- LVsfM;e ubZ fnYyh,12-03-2024 ls 14-03-2024,2024,ubZ fnYyh,06-03-2024,14-03-2024,2024,-,jtr,
34,dq-f[k-,twMks,,,vfUre ;kno,us'kuy jSafdx Vªk;y ,vkbZ-th- LVsfM;e ubZ fnYyh,12-03-2024 ls 14-03-2024,2024,ubZ fnYyh,06-03-2024,14-03-2024,2024,-,jtr,
