vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,
"Ø0
la0",f[kykMh dk izdkj,[ksy fo/kk dk uke,"ih,uvks","ih,uvks",in o uke,izfr;ksfxrk dk uke,LFkku,fnukad,"o""kZ",vk;kstu LFky,dc ls ,dc rd,"o""kZ",Li/kkZ,esMy,fooj.k
71,dq-f[k-,",FkysfVDl",vkj{kh,,fctsUnz,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",xkft;kckn,2024-04-20T00:00:00,2024,xkft;kckn,20-04-2024,20-04-2024,2024,gkbZ tEi,jtr,jkT;
72,dq-f[k-,",FkysfVDl",vkj{kh,,vHk; ukjk;.k,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",xkft;kckn,2024-04-20T00:00:00,2024,xkft;kckn,20-04-2024,20-04-2024,2024,400eh gSMy,Lo.kZ,jkT;
73,dq-f[k-,",FkysfVDl",e- vj{kh,,ekgh,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",xkft;kckn,2024-04-20T00:00:00,2024,xkft;kckn,20-04-2024,20-04-2024,2024,iksy okYV,Lo.kZ,jkT;
74,dq-f[k-,",FkysfVDl",e- vj{kh,,jf'e,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",xkft;kckn,2024-04-20T00:00:00,2024,xkft;kckn,20-04-2024,20-04-2024,2024,iksy okYV,jtr,jkT;
75,dq-f[k-,",FkysfVDl",e- vj{kh,,_fRodk,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",xkft;kckn,2024-04-20T00:00:00,2024,xkft;kckn,20-04-2024,20-04-2024,2024,100eh- gSMy,Lo.kZ,jkT;
76,dq-f[k-,",FkysfVDl",vkj{kh,,yoyh jktiwr,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",xkft;kckn,2024-04-20T00:00:00,2024,xkft;kckn,20-04-2024,20-04-2024,2024,100eh- gSMy,jtr,jkT;
77,dq-f[k-,",FkysfVDl",vkj{kh,,yoyh jktiwr,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",xkft;kckn,2024-04-20T00:00:00,2024,xkft;kckn,20-04-2024,20-04-2024,2024,400eh- gSMy,jtr,jkT;
78,dq-f[k-,",FkysfVDl",e- vj{kh,,dkty 'kekZ,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",xkft;kckn,2024-04-20T00:00:00,2024,xkft;kckn,20-04-2024,20-04-2024,2024,3000eh- LVs-ps-,jtr,jkT;
79,dq-f[k-,",FkysfVDl",e- vj{kh,, 'kSyh /kkek,"31oha m-iz- vksiu LVsV ,FkysfVDl pSfEi;uf'ki 2024",xkft;kckn,2024-04-20T00:00:00,2024,xkft;kckn,20-04-2024,20-04-2024,2024,3000eh- LVs-ps-,Lo.kZ,jkT;
80,dq-f[k-,dq'rh,e- vj{kh,,papy fljksgh,"v.Mj&17 ,oa v.Mj&23 LVsV dq'rh pSfEi;uf'ki",,,,xks.Mk,31-05-2024,02-06-2024,2024,50fdxzk-HkkjoxZ,Lo.kZ,jkT;
81,dq-f[k-,dq'rh,e- vj{kh,,gseyrk,"v.Mj&17 ,oa v.Mj&23 LVsV dq'rh pSfEi;uf'ki",,,,xks.Mk,31-05-2024,02-06-2024,2024,53fdxzk-HkkjoxZ,jtr,jkT;
82,dq-f[k-,dq'rh,e- vj{kh,,nhik,"v.Mj&17 ,oa v.Mj&23 LVsV dq'rh pSfEi;uf'ki",,,,xks.Mk,31-05-2024,02-06-2024,2024,68fdxzk-HkkjoxZ,dkaL;,jkT;
83,dq-f[k-,dq'rh,e- vj{kh,,vuwi dqekj,"v.Mj&17 ,oa v.Mj&23 LVsV dq'rh pSfEi;uf'ki",,,,xks.Mk,31-05-2024,02-06-2024,2024,60fdxzk-HkkjoxZ,Lo.kZ,jkT;
84,dq-f[k-,dq'rh,e- vj{kh,,Hkksyw ;kno,"v.Mj&17 ,oa v.Mj&23 LVsV dq'rh pSfEi;uf'ki",,,,xks.Mk,31-05-2024,02-06-2024,2024,67fdxzk-HkkjoxZ,Lo.kZ,jkT;
85,dq-f[k-,dq'rh,vkj{kh,,gjh'k ;kno,"v.Mj&17 ,oa v.Mj&23 LVsV dq'rh pSfEi;uf'ki",,,,xks.Mk,31-05-2024,02-06-2024,2024,77fdxzk-HkkjoxZ,jtr,jkT;
86,dq-f[k-,dq'rh,vkj{kh,,fo'kky lkguh,"v.Mj&17 ,oa v.Mj&23 LVsV dq'rh pSfEi;uf'ki",,,,xks.Mk,31-05-2024,02-06-2024,2024,61fdxzk-HkkjoxZ,Lo.kZ,jkT;
87,dq-f[k-,dq'rh,vkj{kh,,yksdsUnz ;kno,"v.Mj&17 ,oa v.Mj&23 LVsV dq'rh pSfEi;uf'ki",,,,xks.Mk,31-05-2024,02-06-2024,2024,92fdxzk-HkkjoxZ,dkaL;,jkT;
88,dq-f[k-,dq'rh,vkj{kh,,xksfoUn dqekj,"v.Mj&17 ,oa v.Mj&23 LVsV dq'rh pSfEi;uf'ki",,,,xks.Mk,31-05-2024,02-06-2024,2024,92fdxzk-HkkjoxZ,dkaL;,jkT;
89,dq-f[k-,",FkysfVDl",vkj{kh,,fiz;adk fldjokj,"31oha ;wih LVsV vksisu ,FkysfVDl pSfEi;uf'ki 2024",,,,"lkbZ y[kuÅ@
xkft;kckn",08-06-2024,02-06-2032,2024,100eh-,Lo.kZ,jkT;
90,dq-f[k-,",FkysfVDl",vkj{kh,,fiz;adk fldjokj,"31oha ;wih LVsV vksisu ,FkysfVDl pSfEi;uf'ki 2024",,,,"lkbZ y[kuÅ@
xkft;kckn",08-06-2024,02-06-2032,2024,200eh-,Lo.kZ,jkT;
91,dq-f[k-,",FkysfVDl",vkj{kh,,iadt,"31oha ;wih LVsV vksisu ,FkysfVDl pSfEi;uf'ki 2024",,,,"lkbZ y[kuÅ@
xkft;kckn",08-06-2024,02-06-2032,2024,400eh-,Lo.kZ,jkT;
92,dq-f[k-,",FkysfVDl",vkj{kh,,fizal dqekj,"31oha ;wih LVsV vksisu ,FkysfVDl pSfEi;uf'ki 2024",,,,"lkbZ y[kuÅ@
xkft;kckn",08-06-2024,02-06-2032,2024,1500eh-,Lo.kZ,jkT;
93,dq-f[k-,",FkysfVDl",vkj{kh,,fizal dqekj,"31oha ;wih LVsV vksisu ,FkysfVDl pSfEi;uf'ki 2024",,,,"lkbZ y[kuÅ@
xkft;kckn",08-06-2024,02-06-2032,2024,5000eh-,Lo.kZ,jkT;
94,dq-f[k-,",FkysfVDl",vkj{kh,,eerk iky,"31oha ;wih LVsV vksisu ,FkysfVDl pSfEi;uf'ki 2024",,,,"lkbZ y[kuÅ@
xkft;kckn",08-06-2024,02-06-2032,2024,10000eh-,Lo.kZ,jkT;
95,dq-f[k-,",FkysfVDl",vkj{kh,,f'kokaxh nqcs,"31oha ;wih LVsV vksisu ,FkysfVDl pSfEi;uf'ki 2024",,,,"lkbZ y[kuÅ@
xkft;kckn",08-06-2024,02-06-2032,2024,ykax tEi,Lo.kZ,jkT;
96,dq-f[k-,",FkysfVDl",vkj{kh,,lanhi dqekj,"31oha ;wih LVsV vksisu ,FkysfVDl pSfEi;uf'ki 2024",,,,"lkbZ y[kuÅ@
xkft;kckn",08-06-2024,02-06-2032,2024,gkbZ tEi,Lo.kZ,jkT;
97,dq-f[k-,",FkysfVDl",vkj{kh,,fgeka'kq ;kno,"31oha ;wih LVsV vksisu ,FkysfVDl pSfEi;uf'ki 2024",,,,"lkbZ y[kuÅ@
xkft;kckn",08-06-2024,02-06-2032,2024,fVªiy tEi,Lo.kZ,jkT;
98,dq-f[k-,",FkysfVDl",vkj{kh,,"vk'kh""k dqekj","31oha ;wih LVsV vksisu ,FkysfVDl pSfEi;uf'ki 2024",,,,"lkbZ y[kuÅ@
xkft;kckn",08-06-2024,02-06-2032,2024,fMLdl Fkzks,Lo.kZ,jkT;
99,dq-f[k-,",FkysfVDl",vkj{kh,,vuqjkx iVsy,"31oha ;wih LVsV vksisu ,FkysfVDl pSfEi;uf'ki 2024",,,,"lkbZ y[kuÅ@
xkft;kckn",08-06-2024,02-06-2032,2024,fMLdl Fkzks,jtr,jkT;
100,dq-f[k-,Økld.Vªh,vkj{kh,,eks- vyhe,"31oha ;wih LVsV vksisu ,FkysfVDl pSfEi;uf'ki 2024",,,,"lkbZ y[kuÅ@
xkft;kckn",08-06-2024,02-06-2032,2024,10000eh-,jtr,jkT;
101,dq-f[k-,",FkysfVDl",vkj{kh,,uhrw dqekjh,"31oha ;wih LVsV vksisu ,FkysfVDl pSfEi;uf'ki 2024",,,,"lkbZ y[kuÅ@
xkft;kckn",08-06-2024,02-06-2032,2024,10000eh-,jtr,jkT;
102,dq-f[k-,",FkysfVDl",vkj{kh,,eerk iky,"31oha ;wih LVsV vksisu ,FkysfVDl pSfEi;uf'ki 2024",,,,"lkbZ y[kuÅ@
xkft;kckn",08-06-2024,02-06-2032,2024,5000eh-,jtr,jkT;
103,dq-f[k-,",FkysfVDl",vkj{kh,,"vfHk""ksd flag","31oha ;wih LVsV vksisu ,FkysfVDl pSfEi;uf'ki 2024",,,,"lkbZ y[kuÅ@
xkft;kckn",08-06-2024,02-06-2032,2024,xksyk Qsad,jtr,jkT;
104,dq-f[k-,",FkysfVDl",vkj{kh,,fctsUnz,"31oha ;wih LVsV vksisu ,FkysfVDl pSfEi;uf'ki 2024",,,,"lkbZ y[kuÅ@
xkft;kckn",08-06-2024,02-06-2032,2024,gkbZ tEi,jtr,jkT;
105,dq-f[k-,",FkysfVDl",vkj{kh,,lfpu xwtj,"31oha ;wih LVsV vksisu ,FkysfVDl pSfEi;uf'ki 2024",,,,"lkbZ y[kuÅ@
xkft;kckn",08-06-2024,02-06-2032,2024,fVªiy tEi,jtr,jkT;
106,lkeU;,",FkysfVDl",vkj{kh,,vkyksd flag,"31oha ;wih LVsV vksisu ,FkysfVDl pSfEi;uf'ki 2024",,,,"lkbZ y[kuÅ@
xkft;kckn",08-06-2024,02-06-2032,2024,iksy okYV,jtr,jkT;
107,dq-f[k-,",FkysfVDl",e- vj{kh,,Vhuk,"31oha ;wih LVsV vksisu ,FkysfVDl pSfEi;uf'ki 2024",,,,"lkbZ y[kuÅ@
xkft;kckn",08-06-2024,02-06-2032,2024,200eh-,dkaL;,jkT;
108,dq-f[k-,",FkysfVDl",vkj{kh,,f'kokax feJk,"31oha ;wih LVsV vksisu ,FkysfVDl pSfEi;uf'ki 2024",,,,"lkbZ y[kuÅ@
xkft;kckn",08-06-2024,02-06-2032,2024,400eh-,dkaL;,jkT;
109,lkeU;,",FkysfVDl",m-fu-,,cyjke,"31oha ;wih LVsV vksisu ,FkysfVDl pSfEi;uf'ki 2024",,,,"lkbZ y[kuÅ@
xkft;kckn",08-06-2024,02-06-2032,2024,5000eh-,dkaL;,jkT;
110,dq-f[k-,",FkysfVDl",vkj{kh,,vkdk'k xzsoky,"31oha ;wih LVsV vksisu ,FkysfVDl pSfEi;uf'ki 2024",,,,"lkbZ y[kuÅ@
xkft;kckn",08-06-2024,02-06-2032,2024,xksyk Qsad,dkaL;,jkT;
111,dq-f[k-,",FkysfVDl",e- vj{kh,,jf'e,"31oha ;wih LVsV vksisu ,FkysfVDl pSfEi;uf'ki 2024",,,,"lkbZ y[kuÅ@
xkft;kckn",08-06-2024,02-06-2032,2024,iksy okYV,dkaL;,jkT;
112,dq-f[k-,gkWdh,vkj{kh,,vuar fo'odekZ] eks0 gkfj'k] vfer ;kno] jkgqy ;kno] fo'kky oekZ] ;Uny ;kno] lwjt iky] xxu jktHkj] dey ukjk;u flag,"16oka vksyfEi;u foosd flag izkbteuh 07&, izfr;ksfxrk",,,,okjk.klh,04-06-2024,09-06-2024,2024,,Lo.kZ,jkT;
113,dq-f[k-, 'kwfVax,vkj{kh,,vueksy vjksMk,23oha izh ;wih LVsV 'kwfVax izfr;ksfxrk,,,,ubZ fnYyh,22-06-2024,25-06-2024,2024,25eh- LVS.MMZ fiLVy,Lo.kZ,jkT;
114,dq-f[k-, 'kwfVax,vkj{kh,,xkSjo 'kekZ,23oha izh ;wih LVsV 'kwfVax izfr;ksfxrk,,,,ubZ fnYyh,22-06-2024,25-06-2024,2024,25eh- LVS.MMZ fiLVy,jtr,jkT;
115,dq-f[k-, 'kwfVax,vkj{kh,,fu'kkar rksej,23oha izh ;wih LVsV 'kwfVax izfr;ksfxrk,,,,ubZ fnYyh,22-06-2024,25-06-2024,2024,25eh- LVS.MMZ fiLVy,dkaL;,jkT;
116,dq-f[k-, 'kwfVax,vkj{kh,,ok'kw lkxoku,23oha izh ;wih LVsV 'kwfVax izfr;ksfxrk,,,,ubZ fnYyh,22-06-2024,25-06-2024,2024,50eh- Qzh fiLVy,jtr,jkT;
117,dq-f[k-, 'kwfVax,e- vj{kh,,jf'e dqekjh,23oha izh ;wih LVsV 'kwfVax izfr;ksfxrk,,,,ubZ fnYyh,22-06-2024,25-06-2024,2024,50eh- jkbQy iksu iksth'ku,dkaL;,jkT;
118,dq-f[k-, 'kwfVax,e- vj{kh,,bZf'kdk,23oha izh ;wih LVsV 'kwfVax izfr;ksfxrk,,,,ubZ fnYyh,22-06-2024,25-06-2024,2024,"10eh- ,;j jkbQy",jtr,jkT;
119,dq-f[k-, 'kwfVax,e- vj{kh,,"euh""kk iky",23oha izh ;wih LVsV 'kwfVax izfr;ksfxrk,,,,ubZ fnYyh,22-06-2024,25-06-2024,2024,"10eh- ,;j fiLVy",Lo.kZ,jkT;
120,dq-f[k-, 'kwfVax,e- vj{kh,,"euh""kk iky",23oha izh ;wih LVsV 'kwfVax izfr;ksfxrk,,,,ubZ fnYyh,22-06-2024,25-06-2024,2024,25eh- fiLVy,jtr,jkT;
121,dq-f[k-, 'kwfVax,e- vj{kh,,usgk,23oha izh ;wih LVsV 'kwfVax izfr;ksfxrk,,,,ubZ fnYyh,22-06-2024,25-06-2024,2024,25eh- LiksVZl fiLVy,Lo.kZ,jkT;
122,lkeU;,;ksxk,e- vj{kh,,jksfgu R;kxh,jkT; Lrjh; izfr;ksfxrk,,,,vejksgk,27-06-2024,29-06-2024,2024,&,dkaL;,jkT;
123,lkeU;,;ksxk,e- vj{kh,,fjrq Bkdqj,jkT; Lrjh; izfr;ksfxrk,,,,vejksgk,27-06-2024,29-06-2024,2024,&,Lo.kZ,jkT;
124,lkeU;,;ksxk,e- vj{kh,,eksfudk 'kqDyk,jkT; Lrjh; izfr;ksfxrk,,,,vejksgk,27-06-2024,29-06-2024,2024,&,jtr,jkT;
125,dq-f[k-,rkbDok.Mksa,vkj{kh,,"_f""k jk;",41oha jkT; Lrjh; rkbDok.Mks izfr;ksfxrk,,,,y[kuÅ,12-07-2024,14-07-2024,2024,68fdxzk-HkkjoxZ,Lo.kZ,jkT;
126,dq-f[k-,rkbDok.Mksa,e- vj{kh,,"_f""krk jk;",41oha jkT; Lrjh; rkbDok.Mks izfr;ksfxrk,,,,y[kuÅ,12-07-2024,14-07-2024,2024,62fdxzk-,Lo.kZ,jkT;
127,dq-f[k-,rkbDok.Mksa,e- vj{kh,,[kq'kcw ;kno,41oha jkT; Lrjh; rkbDok.Mks izfr;ksfxrk,,,,y[kuÅ,12-07-2024,14-07-2024,2024,72fdxzk-,jtr,jkT;
128,dq-f[k-,rkbDok.Mksa,e- vj{kh,,lhek dukSft;k,41oha jkT; Lrjh; rkbDok.Mks izfr;ksfxrk,,,,y[kuÅ,12-07-2024,14-07-2024,2024,49fdxzk,Lo.kZ,jkT;
129,dq-f[k-,rkbDok.Mksa,e- vj{kh,,e/kq flag,41oha jkT; Lrjh; rkbDok.Mks izfr;ksfxrk,,,,y[kuÅ,12-07-2024,14-07-2024,2024,67fdxzk-HkkjoxZ,Lo.kZ,jkT;
130,lkeU;, 'kwfVax,vkj{kh,,fizal ;kno,47oha ;w-ih- LVsV 'kwfVax pSfEi;uf'ki,,,,ubZ fnYyh,05-07-2024,14-07-2024,2024,50eh- Qzh fiLVy,dkaL;,jkT;
131,lkeU;, 'kwfVax,vkj{kh,,vkdk'k pkS/kjh,47oha ;w-ih- LVsV 'kwfVax pSfEi;uf'ki,,,,ubZ fnYyh,05-07-2024,14-07-2024,2024,50eh- Qzh fiLVy,jtr,jkT;
132,lkeU;, 'kwfVax,vkj{kh,,vadqj eku,47oha ;w-ih- LVsV 'kwfVax pSfEi;uf'ki,,,,ubZ fnYyh,05-07-2024,14-07-2024,2024,25eh- lsaVj Qk;j fiLVy,dkaL;,jkT;
133,dq-f[k-, 'kwfVax,vkj{kh,,jfo dqekj tkVo,47oha ;w-ih- LVsV 'kwfVax pSfEi;uf'ki,,,,ubZ fnYyh,05-07-2024,14-07-2024,2024,50eh- jkbQy iksu iksth'ku,jtr,jkT;
134,dq-f[k-, 'kwfVax,vkj{kh,,fu'kkar rksej,47oha ;w-ih- LVsV 'kwfVax pSfEi;uf'ki,,,,ubZ fnYyh,05-07-2024,14-07-2024,2024,25eh- LVs.MMZ fiLVy,dkaL;,jkT;
135,dq-f[k-, 'kwfVax,vkj{kh,,ok'kw lkxoku,47oha ;w-ih- LVsV 'kwfVax pSfEi;uf'ki,,,,ubZ fnYyh,05-07-2024,14-07-2024,2024,50eh- Qzh fiLVy,Lo.kZ,jkT;
136,dq-f[k-, 'kwfVax,vkj{kh,,vueksy vjksMk,47oha ;w-ih- LVsV 'kwfVax pSfEi;uf'ki,,,,ubZ fnYyh,05-07-2024,14-07-2024,2024,25eh- lsaVj Qk;j fiLVy,jtr,jkT;
137,dq-f[k-, 'kwfVax,vkj{kh,,"vk'kh""k dqekj MksMoky",47oha ;w-ih- LVsV 'kwfVax pSfEi;uf'ki,,,,ubZ fnYyh,05-07-2024,14-07-2024,2024,25eh- lsaVj Qk;j fiLVy,Lo.kZ,jkT;
138,dq-f[k-, 'kwfVax,vkj{kh,,"vk'kh""k dqekj MksMoky",47oha ;w-ih- LVsV 'kwfVax pSfEi;uf'ki,,,,ubZ fnYyh,05-07-2024,14-07-2024,2024,50eh- Qzh fiLVy,dkaL;,jkT;
139,dq-f[k-, 'kwfVax,vkj{kh,, 'k'kkad f=ikBh,47oha ;w-ih- LVsV 'kwfVax pSfEi;uf'ki,,,,ubZ fnYyh,05-07-2024,14-07-2024,2024,50eh- jkbQy iksu iksth'ku,dkaL;,jkT;
140,dq-f[k-, 'kwfVax,vkj{kh,,veu jkoy,47oha ;w-ih- LVsV 'kwfVax pSfEi;uf'ki,,,,ubZ fnYyh,05-07-2024,14-07-2024,2024,50eh- jkbQy Qzh iksth'ku,Lo.kZ,jkT;
141,dq-f[k-, 'kwfVax,e- vj{kh,,vYdqe fu'kk,47oha ;w-ih- LVsV 'kwfVax pSfEi;uf'ki,,,,ubZ fnYyh,05-07-2024,14-07-2024,2024,50eh- jkbQy iksu iksth'ku,Lo.kZ,jkT;
142,dq-f[k-, 'kwfVax,e- vj{kh,,jf'e dqekjh,47oha ;w-ih- LVsV 'kwfVax pSfEi;uf'ki,,,,ubZ fnYyh,05-07-2024,14-07-2024,2024,50eh- jkbQy iksu iksth'ku,Lo.kZ,jkT;
143,dq-f[k-, 'kwfVax,e- vj{kh,,iwtk oekZ,47oha ;w-ih- LVsV 'kwfVax pSfEi;uf'ki,,,,ubZ fnYyh,05-07-2024,14-07-2024,2024,50eh- jkbQy Qzh iksth'ku,Lo.kZ,jkT;
144,dq-f[k-, 'kwfVax,e- vj{kh,,"euh""kk iky",47oha ;w-ih- LVsV 'kwfVax pSfEi;uf'ki,,,,ubZ fnYyh,05-07-2024,14-07-2024,2024,50eh- Qzh fiLVy,Lo.kZ,jkT;
145,dq-f[k-, 'kwfVax,e- vj{kh,,usgk,47oha ;w-ih- LVsV 'kwfVax pSfEi;uf'ki,,,,ubZ fnYyh,05-07-2024,14-07-2024,2024,25eh- LiksVZl fiLVy,Lo.kZ,jkT;
146,dq-f[k-, 'kwfVax,e- vj{kh,,bZf'kdk,47oha ;w-ih- LVsV 'kwfVax pSfEi;uf'ki,,,,ubZ fnYyh,05-07-2024,14-07-2024,2024,50eh- jkbQy Qzh iksth'ku,jtr,jkT;
147,lkeU;, 'kwfVax,vkj{kh,,dfiy dqekj,47oha ;w-ih- LVsV 'kwfVax pSfEi;uf'ki,,,,ubZ fnYyh,05-07-2024,14-07-2024,2024,50eh- jkbQy iksu iksth'ku,Lo.kZ,jkT;
148,lkeU;, 'kwfVax,vkj{kh,,dfiy dqekj,47oha ;w-ih- LVsV 'kwfVax pSfEi;uf'ki,,,,ubZ fnYyh,05-07-2024,14-07-2024,2024,50eh- jkbQy Qzh iksth'ku,Lo.kZ,jkT;
149,dq-f[k-@lk-, 'kwfVax,vkj{kh,,vueksy vjksMk] vkyksd xks;y] vadqj eku,47oha ;w-ih- LVsV 'kwfVax pSfEi;uf'ki,,,,ubZ fnYyh,05-07-2024,14-07-2024,2024,25eh- lsaVj Qk;j fiLVy Vhe bosaV,Lo.kZ,jkT;
150,dq-f[k-@lk-, 'kwfVax,vkj{kh,,ok'kw lkxoku] vkdk'k pkS/kjh] fizal ;kno,47oha ;w-ih- LVsV 'kwfVax pSfEi;uf'ki,,,,ubZ fnYyh,05-07-2024,14-07-2024,2024,50eh- Qzh fiLVy Vhe bosaV,Lo.kZ,jkT;
151,dq-f[k-,Vscy Vsful,e- vj{kh,,xquxqu lkgw,fgalsl vkWy bf.M;k vksiu Vscy Vsful pSfEi;uf'ki,,,,gfj;k.kk,11-08-2024,11-08-2024,2024,&,jtr,jkT;
152,dq-f[k-,Vscy Vsful,e- vj{kh,,xquxqu lkgw,fgalsl vkWy bf.M;k vksiu Vscy Vsful pSfEi;uf'ki,,,,gfj;k.kk,11-08-2024,11-08-2024,2024,&,jtr,jkT;
153,dq-f[k-,ckfDlax,e- vj{kh,,vkLFkk igok,REC vksiu VSysUV gaV ckfDlax izfr;ksfxrk ,,,,xkSrecq)uxj,22-08-2024,30-08-2024,2024,&,Lo.kZ,jkT;
154,dq-f[k-,ckfDlax,e- vj{kh,,ekulh,REC vksiu VSysUV gaV ckfDlax izfr;ksfxrk ,,,,xkSrecq)uxj,22-08-2024,30-08-2024,2024,&,dkaL;,jkT;
155,dq-f[k-,ckfDlax,vkj{kh,,vueksy,REC vksiu VSysUV gaV ckfDlax izfr;ksfxrk ,,,,xkSrecq)uxj,22-08-2024,30-08-2024,2024,&,dkaL;,jkT;
156,dq-f[k-,oq'kw,vkj{kh,,jfo lw;Zoa'kh,23oha jkT; Lrjh; lhfu;j oq'kw izfr;ksfxrk 2024,,,,lgkjuiqj,30-08-2024,01-09-2024,2024,uuDoku,Lo.kZ,jkT;
157,dq-f[k-,oq'kw,vkj{kh,,jfo lw;Zoa'kh,23oha jkT; Lrjh; lhfu;j oq'kw izfr;ksfxrk 2024,,,,lgkjuiqj,30-08-2024,01-09-2024,2024,uunkÅ,Lo.kZ,jkT;
158,dq-f[k-,oq'kw,vkj{kh,,eksfgr Fkkik,23oha jkT; Lrjh; lhfu;j oq'kw izfr;ksfxrk 2024,,,,lgkjuiqj,30-08-2024,01-09-2024,2024,uuDoku,jtr,jkT;
159,dq-f[k-,oq'kw,vkj{kh,,eksfgr Fkkik,23oha jkT; Lrjh; lhfu;j oq'kw izfr;ksfxrk 2024,,,,lgkjuiqj,30-08-2024,01-09-2024,2024,uuxqu,Lo.kZ,jkT;
160,dq-f[k-,oq'kw,e- vj{kh,,fiz;adk,23oha jkT; Lrjh; lhfu;j oq'kw izfr;ksfxrk 2024,,,,lgkjuiqj,30-08-2024,01-09-2024,2024,paxDoku,Lo.kZ,jkT;
161,dq-f[k-,oq'kw,e- vj{kh,,gqek [kku,23oha jkT; Lrjh; lhfu;j oq'kw izfr;ksfxrk 2024,,,,lgkjuiqj,30-08-2024,01-09-2024,2024,&48,Lo.kZ,jkT;
162,dq-f[k-,oq'kw,e- vj{kh,,izsj.kk,23oha jkT; Lrjh; lhfu;j oq'kw izfr;ksfxrk 2024,,,,lgkjuiqj,30-08-2024,01-09-2024,2024,&60,Lo.kZ,jkT;
163,dq-f[k-,oq'kw,e- vj{kh,,Jqfr ljoS;k,23oha jkT; Lrjh; lhfu;j oq'kw izfr;ksfxrk 2024,,,,lgkjuiqj,30-08-2024,01-09-2024,2024,&70,Lo.kZ,jkT;
164,dq-f[k-,oq'kw,vkj{kh,,lwjt ;kno,23oha jkT; Lrjh; lhfu;j oq'kw izfr;ksfxrk 2024,,,,lgkjuiqj,30-08-2024,01-09-2024,2024,&70,Lo.kZ,jkT;
165,dq-f[k-,oq'kw,vkj{kh,,"_""kHk ukxj",23oha jkT; Lrjh; lhfu;j oq'kw izfr;ksfxrk 2024,,,,lgkjuiqj,30-08-2024,01-09-2024,2024,&80,Lo.kZ,jkT;
166,dq-f[k-,oq'kw,vkj{kh,,veu,23oha jkT; Lrjh; lhfu;j oq'kw izfr;ksfxrk 2024,,,,lgkjuiqj,30-08-2024,01-09-2024,2024,&75,Lo.kZ,jkT;
167,dq-f[k-,oq'kw,vkj{kh,,f'koe,23oha jkT; Lrjh; lhfu;j oq'kw izfr;ksfxrk 2024,,,,lgkjuiqj,30-08-2024,01-09-2024,2024,&52,jtr,jkT;
168,dq-f[k-,oq'kw,e- vj{kh,,izhrh,23oha jkT; Lrjh; lhfu;j oq'kw izfr;ksfxrk 2024,,,,lgkjuiqj,30-08-2024,01-09-2024,2024,&56,jtr,jkT;
169,lkeU;,oq'kw,vkj{kh,,fodkl lgjkor,23oha jkT; Lrjh; lhfu;j oq'kw izfr;ksfxrk 2024,,,,lgkjuiqj,30-08-2024,01-09-2024,2024,&85,jtr,jkT;
170,dq-f[k-,oq'kw,vkj{kh,,fpUVw ukxj,23oha jkT; Lrjh; lhfu;j oq'kw izfr;ksfxrk 2024,,,,lgkjuiqj,30-08-2024,01-09-2024,2024,$90,dkaL;,jkT;
171,dq-f[k-,ckfDlax,vkj{kh,,jkWdh pkS/kjh,REC ckfDlax us'kuy vksiu VsysUV g.V ckfDalx izfr;ksfxrk,,,,xqokgVh] vle,14-09-2024,24-09-2024,2024,80,Lo.kZ,
172,dq-f[k-,ckfDlax,vkj{kh,,l{ke flag,REC ckfDlax us'kuy vksiu VsysUV g.V ckfDalx izfr;ksfxrk,,,,xqokgVh] vle,14-09-2024,24-09-2024,2024,75,jtr,
