vkj{kh lfpu ;kno }kjk vftZr indksa dk fooj.k,vkj{kh lfpu ;kno }kjk vftZr indksa dk fooj.k,vkj{kh lfpu ;kno }kjk vftZr indksa dk fooj.k,vkj{kh lfpu ;kno }kjk vftZr indksa dk fooj.k,vkj{kh lfpu ;kno }kjk vftZr indksa dk fooj.k,vkj{kh lfpu ;kno }kjk vftZr indksa dk fooj.k,vkj{kh lfpu ;kno }kjk vftZr indksa dk fooj.k,vkj{kh lfpu ;kno }kjk vftZr indksa dk fooj.k
"Ø0
la0",f[kykMh dk izdkj,Li/kkZ,in o uke,fu;qfDr,izfr;ksfxrk dk uke,bosUV,esMy
1,dq-f[k-,",FkysfVDl",vkj{kh 232330164 lfpu ;kno,xkSrecq)uxj,"fnukad 27-05-2025 ls 31-05-2025 rd xqeh] lkmFk dksfj;k esa vk;ksftr 26oha ,f'k;u ,FkysfVDl pSfEi;uf'ki 2025",tSofyu Fkzks,jtr
2,dq-f[k-,",FkysfVDl",vkj{kh 232330164 lfpu ;kno,xkSrecq)uxj,fnukad 12-06-2024 dks cSaxyksj esa vk;ksftr bf.M;u xzSaM fizDl lhtu&3 izfr;ksfxrk,tSofyu Fkzks,Lo.kZ
3,dq-f[k-,",FkysfVDl",vkj{kh 232330164 lfpu ;kno,xkSrecq)uxj,fnukad 28-01-2025 ls 14-02-2025 rd mRrjk[k.M esa vk;ksftr 38osa us'kuy xsEl 2025,tSofyu Fkzks,Lo.kZ
4,dq-f[k-,",FkysfVDl",vkj{kh 232330164 lfpu ;kno,xkSrecq)uxj,"fnukad 21-04-2025 ls 24-04-2025 rd dksPph dsjy esa vk;ksftr 28oha QsMjs'ku di lhfu;j ,FkysfVDl izfr;ksfxrk",tSofyu Fkzks,Lo.kZ
5,dq-f[k-,",FkysfVDl",vkj{kh 232330164 lfpu ;kno,xkSrecq)uxj,"fnukad 10-11-2024 ls 14-11-2024 rd ubZ fnYyh esa vk;ksftr 73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",tSofyu Fkzks,Lo.kZ
