2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k
16,lkekU;,Vscy Vsful,&,"उ.नि. ओम कुमारी, एच.ओ. अर्चना",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,40+ डबल,Lo.kZ
17,lkekU;,Vscy Vsful,&,एच.ओ. अर्चना,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,40+ सिंगल्स,dkaL;
18,dq-f[k-@lk-,Vscy Vsful,&,"मु.आ. रोमी, म.आ. रानी सिंह, म.आ. गुनगुन साहू, म.आ. श्रष्टी जैसवाल, उ.नि. ओम कुमारी",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,महिला टीम चैम्पियनशिप,Lo.kZ
19,dq-f[k-@lk-,Vscy Vsful,&,"मु.आ. राहुल चौधरी, आ. अरशद खां, आ. अरविन्द चौधरी, आ. सुब्रत राज वर्मा, आ. विशाल राज",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,पुरूष टीम चैम्पियनशिप,Lo.kZ
20,lkekU;,Vscy Vsful,&,"उ.नि. महेश चन्द्र पाण्डेय, एच.ओ. अर्चना",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,40+ मिक्स डबल्स,dkaL;
21,dq-f[k-@lk-,Vscy Vsful,&,"आ. अरविन्द चौधरी, म.आ. गुनगुन साहू",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन मिक्स डवल्स,Lo.kZ
22,lkekU;,Vscy Vsful,&,"मु.आ. राहुल चौधरी, म.मु.आ. रोमी",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन मिक्स डवल्स,jtr
23,dq-f[k-@lk-,Vscy Vsful,&,"आ. विशाल राज, म.आ. रानी सिंह  ",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन मिक्स डवल्स,dkaL;
24,dq-f[k-@lk-,Vscy Vsful,&,"मु.आ. राहुल चौधरी, आ. सुब्रत राज वर्मा",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन डवल्स,Lo.kZ
25,dq-f[k-,Vscy Vsful,&,"आ. अरविन्द चौधरी, आ. विशाल राज",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन डवल्स,jtr
