vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k
19,lkekU;,ड्यूटी मीट,&,उ.नि.शिवाजी दुबे,अखिल भारती पुलिस इक्वेस्टीरियन & माउन्टेड पुलिस ड्यूटी मीट-2019, गुरूग्राम हरियाणा,05.02.20 से 14.02.20,2020,क्वाड्रिल,स्वर्ण
20,lkekU;,ड्यूटी मीट,&,उ.नि. MP दिलाशाद अहमद,अखिल भारती पुलिस इक्वेस्टीरियन & माउन्टेड पुलिस ड्यूटी मीट-2019, गुरूग्राम हरियाणा,05.02.20 से 14.02.20,2020,क्वाड्रिल,स्वर्ण
21,lkekU;,ड्यूटी मीट,&,HC MP जुगेन्द्र सिंह,अखिल भारती पुलिस इक्वेस्टीरियन & माउन्टेड पुलिस ड्यूटी मीट-2019, गुरूग्राम हरियाणा,05.02.20 से 14.02.20,2020,क्वाड्रिल,स्वर्ण
22,lkekU;,ड्यूटी मीट,&,HC MP राज नरेश,अखिल भारती पुलिस इक्वेस्टीरियन & माउन्टेड पुलिस ड्यूटी मीट-2019, गुरूग्राम हरियाणा,05.02.20 से 14.02.20,2020,क्वाड्रिल,स्वर्ण
23,lkekU;,ड्यूटी मीट,&,HC MP भगवान सिंह,अखिल भारती पुलिस इक्वेस्टीरियन & माउन्टेड पुलिस ड्यूटी मीट-2019, गुरूग्राम हरियाणा,05.02.20 से 14.02.20,2020,क्वाड्रिल,कांस्य
24,lkekU;,ड्यूटी मीट,&,RIMP श्री प्रेम बाबू,40वीं अखिल भारती पुलिस इक्वेस्टीरियन & माउन्टेड पुलिस ड्यूटी मीट 2021-22,हरियाणा,02.04.22 से 11.04.22,2022,क्वाड्रिल,कांस्य
25,lkekU;,ड्यूटी मीट,&,RIMP श्री प्रेम बाबू,40वीं अखिल भारती पुलिस इक्वेस्टीरियन & माउन्टेड पुलिस ड्यूटी मीट 2021-22,हरियाणा,02.04.22 से 11.04.22,2022,मिडिले रिले टेन्टपैगिंग,रजत
26,lkekU;,ड्यूटी मीट,&,SIMP श्री भगवान सिंह,40वीं अखिल भारती पुलिस इक्वेस्टीरियन & माउन्टेड पुलिस ड्यूटी मीट 2021-22,हरियाणा,02.04.22 से 11.04.22,2022,क्वाड्रिल,कांस्य
27,lkekU;,ड्यूटी मीट,&,SIMP श्री भगवान सिंह,40वीं अखिल भारती पुलिस इक्वेस्टीरियन & माउन्टेड पुलिस ड्यूटी मीट 2021-22,हरियाणा,02.04.22 से 11.04.22,2022,मिडिले रिले टेन्टपैगिंग,रजत
28,lkekU;,ड्यूटी मीट,&,HCMP श्री राज नरेश,40वीं अखिल भारती पुलिस इक्वेस्टीरियन & माउन्टेड पुलिस ड्यूटी मीट 2021-22,हरियाणा,02.04.22 से 11.04.22,2022,क्वाड्रिल,कांस्य
29,lkekU;,ड्यूटी मीट,&,HCMP श्री राज नरेश,40वीं अखिल भारती पुलिस इक्वेस्टीरियन & माउन्टेड पुलिस ड्यूटी मीट 2021-22,हरियाणा,02.04.22 से 11.04.22,2022,मिडिले रिले टेन्टपैगिंग,रजत
30,lkekU;,ड्यूटी मीट,&,SIMP श्री दिलशाद अहमद,40वीं अखिल भारती पुलिस इक्वेस्टीरियन & माउन्टेड पुलिस ड्यूटी मीट 2021-22,हरियाणा,02.04.22 से 11.04.22,2022,क्वाड्रिल,कांस्य
31,lkekU;,ड्यूटी मीट,&,सईस श्री भारत सिंह,40वीं अखिल भारती पुलिस इक्वेस्टीरियन & माउन्टेड पुलिस ड्यूटी मीट 2021-22,हरियाणा,02.04.22 से 11.04.22,2022,सईस कम्पटीशन,कांस्य
32,lkekU;,तैराकी एवं क्रॉसकन्ट्री,&,आ. बलराम,71वीं अखिल भारतीय पुलिस तैराकी एवं क्रॉसकन्ट्री प्रतियोगिता-2022, तिरूवनन्तपुरम (केरल),17.08.22 से 21.08.22,2022,क्रॉसकन्ट्री (10किलो मीटर ),रजत
33,dq-f[k-,जूडो क्लस्टर,&,कु.खि. मु.आ. प्रभास श्रीवास्तव,07वीं अखिल भारतीय पुलिस जूडो क्लस्टर प्रतियोगिता-2022,नई दिल्ली,19.09.22 से 24.09.22,2022,जिम्नास्टिक (फ्लोर),रजत
34,dq-f[k-,जूडो क्लस्टर,&,कु.खि. उ.नि. रॉबिन कनौजिया,07वीं अखिल भारतीय पुलिस जूडो क्लस्टर प्रतियोगिता-2022,नई दिल्ली,19.09.22 से 24.09.22,2022,जिम्नास्टिक ( हॉरिजेंटल बार ),कांस्य
35,lkekU;,जूडो क्लस्टर,&,आ. रामू सिसौदिया,07वीं अखिल भारतीय पुलिस जूडो क्लस्टर प्रतियोगिता-2022,"IG STADIUM 
नई दिल्ली",19.09.22 से 24.09.22,2022,वुशू  ( 48KG साण्डा ),कांस्य
36,lkekU;,जूडो क्लस्टर,&,आ.चन्द्रकान्त गिरि,07वीं अखिल भारतीय पुलिस जूडो क्लस्टर प्रतियोगिता-2022,"IG STADIUM 
नई दिल्ली",19.09.22 से 24.09.22,2022,वुशू  ( 52KG साण्डा ),कांस्य
37,lkekU;,जूडो क्लस्टर,&,आ. देवेन्द्र,07वीं अखिल भारतीय पुलिस जूडो क्लस्टर प्रतियोगिता-2022,"IG STADIUM 
नई दिल्ली",19.09.22 से 24.09.22,2022,वुशू  ( 80KG साण्डा ),कांस्य
38,lkekU;,जूडो क्लस्टर,&,आ.शमशेर अली,07वीं अखिल भारतीय पुलिस जूडो क्लस्टर प्रतियोगिता-2022,"IG STADIUM 
नई दिल्ली",19.09.22 से 24.09.22,2022,वुशू  ( 85KG साण्डा ),कांस्य
39,lkekU;,जूडो क्लस्टर,&,कु.खि.शैलेष कुमार मिश्रा,07वीं अखिल भारतीय पुलिस जूडो क्लस्टर प्रतियोगिता-2022,"IG STADIUM 
नई दिल्ली",19.09.22 से 24.09.22,2022,पेंचक सिलाट ( 45-50KG ),कांस्य
40,lkekU;,जूडो क्लस्टर,&,आ. विनीत यादव,07वीं अखिल भारतीय पुलिस जूडो क्लस्टर प्रतियोगिता-2022,"IG STADIUM 
नई दिल्ली",19.09.22 से 24.09.22,2022,पेंचक सिलाट ( 70-75KG ),कांस्य
41,lkekU;,जूडो क्लस्टर,&,आ.सुनील डागर,07वीं अखिल भारतीय पुलिस जूडो क्लस्टर प्रतियोगिता-2022,"IG STADIUM 
नई दिल्ली",19.09.22 से 24.09.22,2022,पेंचक सिलाट ( 90-95KG ),कांस्य
42,lkekU;,जूडो क्लस्टर,&,म.आ. डोली,07वीं अखिल भारतीय पुलिस जूडो क्लस्टर प्रतियोगिता-2022,"IG STADIUM 
नई दिल्ली",19.09.22 से 24.09.22,2022,पेंचक सिलाट ( 50-55KG ),कांस्य
43,lkekU;,जूडो क्लस्टर,&,म.आ.अमिता सिंह,07वीं अखिल भारतीय पुलिस जूडो क्लस्टर प्रतियोगिता-2022,"IG STADIUM 
नई दिल्ली",19.09.22 से 24.09.22,2022,ताइक्वाण्डो ( 49KG ),कांस्य
44,lkekU;,जूडो क्लस्टर,&,म.आ.नेहा यादव,07वीं अखिल भारतीय पुलिस जूडो क्लस्टर प्रतियोगिता-2022,"IG STADIUM 
नई दिल्ली",19.09.22 से 24.09.22,2022,ताइक्वाण्डो ( 49-53KG ),कांस्य
45,dq-f[k-,कुश्ती क्लस्टर,&,कु.खि.म.आ.सीमा,71वीं अखिल भारतीय पुलिस कुश्ती क्लस्टर प्रतियोगिता-2022,पूणे महाराष्ट्र,14.11.22 से 20.11.22,2022,कुश्ती (फ्री स्टाइल) महिला,रजत
