"o""kZ 2023&24 esa vk;ksftr vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k","o""kZ 2023&24 esa vk;ksftr vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k","o""kZ 2023&24 esa vk;ksftr vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k","o""kZ 2023&24 esa vk;ksftr vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k","o""kZ 2023&24 esa vk;ksftr vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k","o""kZ 2023&24 esa vk;ksftr vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k","o""kZ 2023&24 esa vk;ksftr vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k","o""kZ 2023&24 esa vk;ksftr vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k"
09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk esa izkIr fd;s x;s indksa dk la[;kRed fooj.k,09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk esa izkIr fd;s x;s indksa dk la[;kRed fooj.k,09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk esa izkIr fd;s x;s indksa dk la[;kRed fooj.k,09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk esa izkIr fd;s x;s indksa dk la[;kRed fooj.k,09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk esa izkIr fd;s x;s indksa dk la[;kRed fooj.k,09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk esa izkIr fd;s x;s indksa dk la[;kRed fooj.k,09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk esa izkIr fd;s x;s indksa dk la[;kRed fooj.k,
Ø0laa0,izfr;ksfxrk dk uke,[ksy fo/kk okj,Lo.kZ ,jtr,dkaL;,;ksx,
1,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25
fnukad 24-06-2024 ls 30-06-2024 rd vklke",oq'kw,2,3,0,5,
1,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25
fnukad 24-06-2024 ls 30-06-2024 rd vklke",rkbZDok.Mks,6,2,3,11,
1,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25
fnukad 24-06-2024 ls 30-06-2024 rd vklke",twMks,2,0,1,3,
1,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25
fnukad 24-06-2024 ls 30-06-2024 rd vklke",djkVs,&,&,&,0,
1,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25
fnukad 24-06-2024 ls 30-06-2024 rd vklke",isapd flykV,1,2,6,9,
;ksx&,;ksx&,;ksx&,11,7,10,28,
,,,,,,,
73oha vf[ky Hkkjrh; iqfyl dq'rh DyLVj izfr;ksfxrk esa izkIr fd;s x;s indksa dk la[;kRed fooj.k,73oha vf[ky Hkkjrh; iqfyl dq'rh DyLVj izfr;ksfxrk esa izkIr fd;s x;s indksa dk la[;kRed fooj.k,73oha vf[ky Hkkjrh; iqfyl dq'rh DyLVj izfr;ksfxrk esa izkIr fd;s x;s indksa dk la[;kRed fooj.k,73oha vf[ky Hkkjrh; iqfyl dq'rh DyLVj izfr;ksfxrk esa izkIr fd;s x;s indksa dk la[;kRed fooj.k,73oha vf[ky Hkkjrh; iqfyl dq'rh DyLVj izfr;ksfxrk esa izkIr fd;s x;s indksa dk la[;kRed fooj.k,73oha vf[ky Hkkjrh; iqfyl dq'rh DyLVj izfr;ksfxrk esa izkIr fd;s x;s indksa dk la[;kRed fooj.k,73oha vf[ky Hkkjrh; iqfyl dq'rh DyLVj izfr;ksfxrk esa izkIr fd;s x;s indksa dk la[;kRed fooj.k,73oha vf[ky Hkkjrh; iqfyl dq'rh DyLVj izfr;ksfxrk esa izkIr fd;s x;s indksa dk la[;kRed fooj.k
Ø0laa0,izfr;ksfxrk dk uke,[ksy fo/kk okj,Lo.kZ ,jtr,dkaL;,dqy ind,;ksx
1,"73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 fnukad 09 ls 13 flrEcj  
vk;kstu LFky&y[kuÅ",dq'rh,8,5,6,19,37
1,"73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 fnukad 09 ls 13 flrEcj  
vk;kstu LFky&y[kuÅ",vkeZ jslfyax,3,2,2,7,37
1,"73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 fnukad 09 ls 13 flrEcj  
vk;kstu LFky&y[kuÅ",ckfDalx,0,3,6,9,37
1,"73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 fnukad 09 ls 13 flrEcj  
vk;kstu LFky&y[kuÅ",ckWMh fcfYMax,0,1,1,2,37
2,"01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024 fnukad 23 ls 27 flrEcj  
vk;kstu LFky&nqxZ] fHkykbZ",HkkjksRrksyu,2,2,5,9,29
2,"01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024 fnukad 23 ls 27 flrEcj  
vk;kstu LFky&nqxZ] fHkykbZ",ikoj fyf¶Vax,4,4,1,9,29
2,"01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024 fnukad 23 ls 27 flrEcj  
vk;kstu LFky&nqxZ] fHkykbZ",;ksxk,3,5,3,11,29
